method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.759109,0.695355,0.006055,0.020737,0.999000,0.020000,0.000000,20,0.007646,0.020737,0.444898,0.011428,0.303965,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.808991,0.724494,0.006000,0.021908,0.999000,0.020000,0.000000,20,0.007983,0.021908,0.444675,0.012303,0.274863,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401920.859410,0.739182,0.006322,0.022282,0.999000,0.020000,0.000000,20,0.007886,0.022282,0.444739,0.012790,0.260178,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402229.816190,-0.000000,-0.000000,0.000155,0.299000,0.020000,0.000000,6,-0.020000,0.000155,0.500000,0.058555,0.999200,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402229.866031,-0.000000,-0.000000,0.000155,0.299000,0.020000,0.000000,6,-0.020000,0.000155,0.500000,0.058555,0.999200,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402229.915817,0.002856,0.000001,0.001383,0.299000,0.020000,0.000000,6,-0.020000,0.001383,0.500000,0.055262,0.996345,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402229.965423,0.014359,0.000013,0.005188,0.299000,0.020000,0.000000,6,-0.019987,0.005188,0.500000,0.045033,0.984844,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.015525,0.022370,0.000035,0.006968,0.299000,0.020000,0.000000,6,-0.019965,0.006968,0.500000,0.040199,0.976834,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.065421,0.042731,0.000140,0.009937,0.299000,0.020000,0.000000,6,-0.019860,0.009937,0.500000,0.031934,0.956475,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.116108,0.055030,0.000233,0.011088,0.349000,0.020000,0.000000,7,-0.019768,0.011088,0.500000,0.028577,0.944177,1,0
